 15 12 10 8 6 4 2 0 -1 -2 -3 -5
15,02 0,681748 0,891066 0,856556 0,780905 0,598739 0,503549 0,566986 0,513361 0,547397 0,749781 0,942316 0,724954
15,0406 0,681748 0,904435 0,863589 0,797248 0,613914 0,508575 0,573573 0,527613 0,542857 0,760098 0,943668 0,73133
15,0612 0,680679 0,91547 0,868463 0,810029 0,62992 0,509391 0,579395 0,535036 0,550868 0,767617 0,952231 0,742714
15,0819 0,679743 0,927283 0,873755 0,819388 0,649252 0,511087 0,589353 0,541568 0,551402 0,777409 0,947724 0,733607
15,1026 0,681949 0,938106 0,879674 0,830493 0,671148 0,518437 0,595864 0,546912 0,561816 0,787725 0,95854 0,742259
15,1234 0,682884 0,948645 0,885454 0,838246 0,693182 0,522897 0,602451 0,552553 0,560748 0,790348 0,962821 0,730419
15,1443 0,685491 0,959044 0,894436 0,846068 0,717018 0,529681 0,611796 0,56057 0,566889 0,804162 0,960793 0,722678
15,1653 0,687763 0,96541 0,898475 0,850258 0,735865 0,533325 0,627499 0,55671 0,56235 0,80661 0,971384 0,698998
15,1863 0,691773 0,972837 0,905369 0,854728 0,75097 0,541428 0,637074 0,558492 0,55781 0,805386 0,968454 0,678962
15,2074 0,694045 0,979345 0,9108 0,859757 0,767115 0,550286 0,64887 0,548694 0,558612 0,808708 0,966201 0,660291
15,2286 0,699258 0,987409 0,918599 0,864855 0,780834 0,561781 0,665569 0,561164 0,568224 0,820423 0,966652 0,64663
15,2498 0,702733 0,991299 0,924936 0,867579 0,790881 0,570513 0,67882 0,55582 0,567423 0,82427 0,965525 0,622951
15,2711 0,708347 0,995261 0,933779 0,870233 0,800097 0,582449 0,689468 0,55285 0,569025 0,838958 0,960568 0,605647
15,2925 0,714295 0,996958 0,941578 0,872817 0,805779 0,59853 0,696285 0,541568 0,56769 0,84228 0,957639 0,575137
15,3139 0,726993 0,99901 0,951605 0,877357 0,811253 0,615302 0,705094 0,538895 0,575434 0,851023 0,954935 0,550546
15,3355 0,736884 0,999151 0,95822 0,882246 0,814163 0,632326 0,71306 0,53652 0,564219 0,84875 0,950428 0,522313
15,357 0,749315 1 0,966228 0,890068 0,818805 0,652805 0,725086 0,541568 0,571696 0,854695 0,95133 0,491348
15,3787 0,756065 0,998514 0,9734 0,897611 0,819845 0,669389 0,734278 0,541568 0,569559 0,856793 0,940964 0,458106
15,4004 0,765154 0,996109 0,980851 0,906551 0,82324 0,688485 0,750823 0,54424 0,571429 0,861689 0,933529 0,443989
15,4222 0,770501 0,989743 0,987188 0,912208 0,824279 0,698536 0,758254 0,546021 0,579439 0,861514 0,929923 0,418944
15,4441 0,774243 0,984084 0,99053 0,92024 0,825942 0,710911 0,768748 0,539489 0,583178 0,861689 0,929473 0,390255
15,4661 0,778854 0,975172 0,995265 0,92457 0,828783 0,719769 0,776561 0,542162 0,582377 0,868159 0,926769 0,377049
15,4881 0,779322 0,964632 0,996936 0,929459 0,829823 0,728061 0,780467 0,538599 0,583712 0,868159 0,924065 0,355647
15,5102 0,780592 0,953243 0,997772 0,935675 0,833356 0,7334 0,786365 0,537411 0,580507 0,875153 0,923164 0,343352
15,5324 0,782062 0,939803 0,999652 0,941193 0,837791 0,737609 0,795251 0,542458 0,576502 0,878475 0,912799 0,32377
15,5546 0,782263 0,924312 1 0,948666 0,843265 0,73673 0,795251 0,54038 0,578638 0,876902 0,894547 0,316485
15,5769 0,781394 0,907265 0,997841 0,953555 0,84666 0,738363 0,799234 0,537411 0,559947 0,864312 0,875394 0,288707
15,5993 0,781528 0,889722 0,994847 0,960749 0,854005 0,735285 0,801992 0,543646 0,555941 0,857318 0,869761 0,29235
15,6218 0,780392 0,867086 0,987188 0,96445 0,857747 0,73095 0,799617 0,537114 0,543658 0,845777 0,85196 0,270492
15,6443 0,778921 0,844238 0,976255 0,965358 0,86329 0,724229 0,796859 0,527019 0,539119 0,833362 0,839793 0,26867
15,6669 0,777986 0,819269 0,964557 0,967104 0,869249 0,721151 0,797932 0,519002 0,535915 0,827243 0,822668 0,251821
15,6896 0,777384 0,789771 0,953903 0,966755 0,876594 0,720962 0,797702 0,508314 0,535648 0,815003 0,800361 0,246812
